Title,URL,Author,Score,Comments
TTE: Terminal Text Effects,https://chrisbuilds.github.io/terminaltexteffects/showroom/,makapuf,478,72
Algorithmica,https://en.algorithmica.org,gone35,20,0
Reproducing GPT-2 in llm.c,https://github.com/karpathy/llm.c/discussions/481,tosh,247,54
Steve Jurvetson's personal collection of Apollo Lunar Module parts,https://www.flickr.com/photos/jurvetson/albums/72157623704246792/,gessha,60,20
Electromagnetic Waves and Antennas,https://www.ece.rutgers.edu/~orfanidi/ewa/,exar0815,6,0
Show HN: I made a free app to calibrate your turntable by simply playing a song,https://grooved.okat.best/,okatbest,207,140
API Shouldn't Redirect HTTP to HTTPS,https://jviide.iki.fi/http-redirects,oherrala,136,65
"Show HN: Openkoda – Open–source, private, Salesforce alternative",https://github.com/openkoda/openkoda,mgl,177,66
Shadama: A Particle Simulation Programming Environment for Everyone,https://tinlizzie.org/~ohshima/shadama2/live2017/,lloydatkinson,13,0
Researchers accurately dating a 7k-year-old settlement using cosmic rays,https://phys.org/news/2024-05-succeed-accurately-dating-year-prehistoric.html,wglb,83,9
